coin,block,total_supply,total_supply_pct,date
FIL,1518913,20855044.140625,99.3097340177745,2049-09-01
FIL,1523233,20856731.640625,99.31776973206141,2049-10-01
FIL,1527697,20858475.390625,99.32607330349121,2049-11-01
FIL,1532017,20860162.890625,99.33410901777813,2049-12-01
FIL,1536481,20861906.640625,99.34241258920794,2050-01-01
FIL,1540945,20863650.390625,99.35071616063775,2050-02-01
FIL,1544977,20865225.390625,99.35821616063886,2050-03-01
FIL,1549441,20866969.140625,99.36651973206867,2050-04-01
FIL,1553761,20868656.640625,99.37455544635559,2050-05-01
FIL,1558225,20870400.390625,99.38285901778539,2050-06-01
FIL,1562545,20872087.890625,99.3908947320723,2050-07-01
FIL,1567009,20873831.640625,99.39919830350212,2050-08-01
FIL,1571473,20875575.390625,99.40750187493192,2050-09-01
FIL,1575793,20877262.890625,99.41553758921883,2050-10-01
FIL,1580257,20879006.640625,99.42384116064864,2050-11-01
FIL,1584577,20880694.140625,99.43187687493555,2050-12-01
FIL,1589041,20882437.890625,99.44018044636536,2051-01-01
FIL,1593505,20884181.640625,99.44848401779517,2051-02-01
FIL,1597537,20885756.640625,99.45598401779628,2051-03-01
FIL,1602001,20887500.390625,99.4642875892261,2051-04-01
FIL,1606321,20889187.890625,99.47232330351301,2051-05-01
FIL,1610785,20890931.640625,99.48062687494281,2051-06-01
FIL,1615105,20892619.140625,99.48866258922973,2051-07-01
FIL,1619569,20894362.890625,99.49696616065954,2051-08-01
FIL,1624033,20896106.640625,99.50526973208935,2051-09-01
FIL,1628353,20897794.140625,99.51330544637625,2051-10-01
FIL,1632817,20899537.890625,99.52160901780607,2051-11-01
FIL,1637137,20901225.390625,99.52964473209298,2051-12-01
FIL,1641601,20902969.140625,99.53794830352278,2052-01-01
FIL,1646065,20904712.890625,99.5462518749526,2052-02-01
FIL,1650241,20906344.140625,99.5540197320966,2052-03-01
FIL,1654705,20908087.890625,99.56232330352643,2052-04-01
FIL,1659025,20909775.390625,99.57035901781333,2052-05-01
FIL,1663489,20911519.140625,99.57866258924314,2052-06-01
FIL,1667809,20913206.640625,99.58669830353006,2052-07-01
FIL,1672273,20914950.390625,99.59500187495985,2052-08-01
FIL,1676737,20916694.140625,99.60330544638967,2052-09-01
FIL,1681057,20918175.1953125,99.61035808775976,2052-10-01
FIL,1685521,20919047.0703125,99.61450987347466,2052-11-01
FIL,1689841,20919890.8203125,99.61852773061813,2052-12-01
FIL,1694305,20920762.6953125,99.62267951633304,2053-01-01
FIL,1698769,20921634.5703125,99.62683130204793,2053-02-01
FIL,1702801,20922422.0703125,99.6305813020485,2053-03-01
FIL,1707265,20923293.9453125,99.6347330877634,2053-04-01
FIL,1711585,20924137.6953125,99.63875094490685,2053-05-01
FIL,1716049,20925009.5703125,99.64290273062176,2053-06-01
FIL,1720369,20925853.3203125,99.64692058776522,2053-07-01
FIL,1724833,20926725.1953125,99.65107237348012,2053-08-01
FIL,1729297,20927597.0703125,99.65522415919501,2053-09-01
FIL,1733617,20928440.8203125,99.65924201633848,2053-10-01
FIL,1738081,20929312.6953125,99.66339380205338,2053-11-01
