coin,layer,simple,baseline,vault1,vault2,comfund,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,5398001,1279084.4293715726,2880715.4010421364,1500000,1500000.0,218936.8331796689,99.73378232814707,96.30120818129757,100.0,100.0,97.33125446056967,5878736.663593378,5878736.663593378,97.99857451650391,97.99857451650391,2072-10-01
SMH,5400001,1279091.923271655,2880859.9645267287,1500000,1500000.0,218944.83619991495,99.73436664844874,96.3060408830008,100.0,100.0,97.33481230868827,5878896.723998299,5878896.723998299,98.00124272438877,98.00124272438877,2072-10-01
SMH,5403001,1279103.1333044558,2881075.3060825365,1500000,1500000.0,218956.75996773643,99.73524072598853,96.3132396684096,100.0,100.0,97.3401131768113,5879135.199354729,5879135.199354729,98.00521810997326,98.00521810997326,2072-11-01
SMH,5405001,1279110.5861673532,2881217.878015379,1500000,1500000.0,218964.6560096175,99.73582184650637,96.31800579330361,100.0,100.0,97.34362346628794,5879293.12019235,5879293.12019235,98.00785065125874,98.00785065125874,2072-11-01
SMH,5407001,1279118.0226783683,2881359.8861346785,1500000,1500000.0,218972.52151647618,99.7364016920223,96.32275307012767,100.0,100.0,97.34712018101796,5879450.430329523,5879450.430329523,98.01047301216417,98.01047301216417,2072-11-01
SMH,5409001,1279125.4428733771,2881502.0427989983,1500000,1500000.0,218980.39398275662,99.73698026533367,96.32750531275465,100.0,100.0,97.35061998965064,5879607.879655132,5879607.879655132,98.01309769334165,98.01309769334165,2072-12-01
SMH,5411001,1279132.8467881784,2881643.638920294,1500000,1500000.0,218988.2360899196,99.73755756923185,96.33223881664388,100.0,100.0,97.35410630173756,5879764.721798392,5879764.721798392,98.01571225278582,98.01571225278582,2072-12-01
SMH,5413001,1279140.2344584907,2881784.853950952,1500000,1500000.0,218996.05728470755,99.73813360650189,96.33695958081961,100.0,100.0,97.35758331695257,5879921.145694151,5879921.145694151,98.01831984004168,98.01831984004168,2072-12-01
SMH,5415001,1279147.605919956,2881926.088960106,1500000,1500000.0,219003.878677898,99.73870837992288,96.34168101286878,100.0,100.0,97.36106042037002,5880077.57355796,5880077.57355796,98.020927493445,98.020927493445,2072-12-01
SMH,5417001,1279154.9612081368,2882066.712443109,1500000,1500000.0,219011.66703427612,99.73928189226775,96.34638200183386,100.0,100.0,97.36452283683718,5880233.340685522,5880233.340685522,98.02352413237121,98.02352413237121,2072-12-01
SMH,5419001,1279162.3003585176,2882207.5046287165,1500000,1500000.0,219019.46342038075,99.73985414630333,96.35108863046214,100.0,100.0,97.36798882302507,5880389.268407615,5880389.268407615,98.02612344840918,98.02612344840918,2073-01-01
